LSOA11CD,GridE100_mean,GridN100_mean,Count,Need_Mid,Need_High
E01028924,"328,827.36","327,810.98",47,0,0
E01028925,"328,594.29","336,260.25",68,0,0
E01028926,"328,436.11","335,868.50",44,0,0
E01028927,"331,999.79","331,667.96",48,0,0
E01028928,"332,595.27","330,932.56",52,0,0
E01028960,"354,617.50","295,918.00",2,0,0
E01028969,"337,112.00","320,969.00",1,0,0
E01028978,"331,552.40","312,808.80",5,0,0
E01028980,"362,633.75","302,746.25",4,0,0
E01028990,"353,965.58","293,961.25",12,0,0
E01028991,"331,982.83","292,251.83",6,0,0
E01028993,"360,853.91","280,580.82",11,0,0
E01028995,"359,649.66","268,986.05",44,0,0
E01028999,"358,990.00","270,348.67",3,0,0
E01029000,"362,645.09","277,277.07",69,0,0
E01029001,"366,853.18","274,661.59",111,0,0
E01029002,"367,357.92","275,904.79",39,0,0
E01029003,"324,570.00","289,502.00",1,0,0
E01029015,"355,799.50","289,708.17",6,0,0
E01029018,"362,897.00","155,042.00",1,0,0
E01029020,"370,027.00","146,710.00",1,0,0
E01029022,"380,816.35","153,515.33",49,0,0
E01029023,"380,244.64","151,034.06",47,0,0
E01029026,"369,597.50","150,192.00",2,0,0
E01029027,"368,253.67","136,935.33",3,0,0
E01029029,"378,360.95","148,267.33",42,0,0
E01029030,"379,352.21","148,971.17",42,0,0
E01029031,"379,015.39","148,367.39",36,0,0
E01029032,"377,959.03","149,137.78",37,0,0
E01029033,"378,833.69","149,243.13",32,0,0
E01029034,"378,452.13","148,818.50",32,0,0
E01029035,"378,254.61","147,663.95",41,0,0
E01029036,"377,744.06","147,694.46",52,0,0
E01029037,"377,491.55","147,167.43",40,0,0
E01029038,"377,942.19","147,018.25",32,0,0
E01029039,"376,699.66","147,540.46",35,0,0
E01029040,"376,920.38","146,956.40",45,0,0
E01029041,"377,299.25","147,785.56",52,0,0
E01029042,"377,303.52","148,160.69",42,1,0
E01029043,"376,675.14","148,183.78",37,0,0
E01029044,"377,009.00","148,530.34",32,0,0
E01029045,"377,664.69","148,617.11",36,0,0
E01029053,"375,309.35","147,145.12",145,0,0
E01029054,"344,851.00","145,148.00",1,0,0
E01029055,"346,376.05","136,524.39",56,0,0
E01029057,"375,585.00","151,389.33",30,0,0
E01029058,"373,735.89","143,594.56",55,0,0
E01029060,"349,409.53","152,221.45",87,0,0
E01029068,"369,759.67","150,914.00",3,0,0
E01029070,"348,059.59","136,604.55",56,0,0
E01029071,"348,997.24","136,820.05",38,0,0
